Unit    ;Name       ;SI-exponents(s,m,kg,A,K,mol,cd)
s       ;Sekunden   ; 1, 0, 0, 0, 0, 0, 0
m       ;Meter      ; 0, 1, 0, 0, 0, 0, 0
kg      ;Kilogramm  ; 0, 0, 1, 0, 0, 0, 0
A       ;Ampere     ; 0, 0, 0, 1, 0, 0, 0
K       ;Kelvin     ; 0, 0, 0, 0, 1, 0, 0
mol     ;mol        ; 0, 0, 0, 0, 0, 1, 0
cd      ;Candela    ; 0, 0, 0, 0, 0, 0, 1
N        ;Newton     ;-2, 1, 1, 0, 0, 0, 0
Hz      ; Hertz         ; -1, 0, 0, 0, 0, 0, 0
Pa		;Pascal			; -2, 1, 1, 0, 0, 0, 0
J		;Joule			; -2, 2, 1, 0, 0, 0, 0
W		;Watt			; -3, 2, 1, 0, 0, 0, 0
C		;Coulomb		; 1, 0, 0, 1, 0, 0, 0
V		;Volt			; -3, 2, 1, -1, 0, 0, 0
F		;Farad			; 4, -2, -1, 2, 0, 0, 0
Ohm		;Ohm			; -3, 2, 1, -2, 0, 0, 0
S		;Siemens		; 3, -2, -1, 2, 0, 0, 0
Wb		;Weber			; -2, 2, 1, -1, 0, 0, 0
T		;Tesla			; -2, 0, 1, -1, 0, 0, 0
H		;Henry			; -2, 2, 1, -2, 0, 0, 0
C		;Celcsius		; 0, 0, 0, 0, 1, 0, 0
Bq		;Becquerel		; -1, 0, 0, 0, 0, 0, 0
Gy		;Gray			; -2, 2, 0, 0, 0, 0, 0
